,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_8_TEXT,Q2,Q3,Q4,Q4_6_TEXT,Q5,Q5_7_TEXT,Q6,Q6_6_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q19_12_TEXT,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Any Questions? ,Q3 - Topics,Q3 - Parent Topics,Q3 - Topic Hierarchy Level 1
1,2024-10-28 05:52:43,2024-10-28 06:18:46,IP Address,195.176.113.108,100,1563,True,2024-10-28 06:18:47.196000,R_2Hzv2Bbu2E24FjY,,,,,47.3857,8.5348,anonymous,EN,Asia,,Female,,PhD,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,1,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated",,,,,,,Somewhat disagree,Strongly willing,1,3,2,4,5,6,7,8,,,,
2,2024-10-28 12:16:51,2024-10-28 12:19:06,IP Address,83.78.24.63,100,135,True,2024-10-28 12:19:07.207000,R_2m7XOE3XLdRT7tT,,,,,47.4197,8.5139,anonymous,EN,Europe,,Male,,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Suburban / Town,1,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson),Inactivated virus (e.g., Sinovac, Sinopharm),Not sure",No,Slightly important,It depends on the vaccine,1,"yes, positive before vaccination","No, not vaccinated",,,,,"Concerns about how quickly the vaccine was developed.,Concerns about potential side effects.,Low trust in pharmaceutical companies or government officials.,I did not feel I was at high risk of severe illness from COVID-19.,I wanted to wait for more research on long-term effects.",,Somewhat agree,Somewhat unwilling,2,3,4,5,1,6,7,8,,,,
3,2024-10-28 13:10:35,2024-10-28 13:28:19,IP Address,178.196.39.237,100,1064,True,2024-10-28 13:28:20.415000,R_8MlH0popDOF1B1A,,,,,47.3433,8.5394,anonymous,EN,Europe,,Male,,PhD,,Other,,Other,,Suburban / Town,1,Not sure,No,Very important,Definitely yes,3,"yes, positive before vaccination","Yes, fully vaccinated","Most people around me were getting vaccinated.,I live with or regularly interact with people in high-risk groups.",,immediatly,4,,,Strongly disagree,Strongly willing,1,3,2,4,5,6,7,8,,,,
4,2024-10-28 04:53:25,2024-10-28 06:39:30,IP Address,195.176.112.251,64,6364,False,2024-11-04 05:39:34.368000,R_2ocoOoIJXDKcugk,,,,,,,anonymous,EN,Africa,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,Oceania,Not sure,Prefer not say,Extremely important,"No, I believe they are generally unsafe",4,Never tested positive,"No, not vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
5,2024-10-28 07:34:51,2024-10-28 07:36:50,IP Address,195.176.112.136,80,119,False,2024-11-04 06:36:56.086000,R_8PHzABWf82rVkBz,,,,,,,anonymous,EN,Asia,,Female,,Master's Degree,,"Sciences (Biology, Chemistry, Physics)",,Prefer not say,,Suburban / Town,Asia,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
6,2024-10-28 07:38:45,2024-10-28 07:39:07,IP Address,195.176.112.199,80,21,False,2024-11-04 06:39:09.116000,R_2IYkiHaJKLieoVc,,,,,,,anonymous,EN,South America,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Suburban / Town,Asia,Not sure,No,Very important,"Yes, I believe they are generally safe",1,Never tested positive,"Yes, fully vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
7,2024-10-28 07:40:14,2024-10-28 07:40:44,IP Address,195.176.112.199,92,29,False,2024-11-04 06:40:45.172000,R_2Qgu4VD7nNAGMLq,,,,,,,anonymous,EN,North America,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Christianity,,Urban / City,Asia,"Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,I am unsure,3,Never tested positive,"Yes, partially vaccinated",,,,,,,Somewhat agree,Neither willing nor unwilling,2,4,5,3,1,6,7,8,,Unknown,,
8,2024-10-28 10:09:41,2024-10-28 10:14:19,IP Address,178.197.211.255,80,277,False,2024-11-04 09:14:24.868000,R_8Bmewlgl4QJvDO1,,,,,,,anonymous,EN,Asia,,Female,,PhD,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,I am in a high-risk group.,I live with or regularly interact with people in high-risk groups.",,immediatly,4,,,,,,,,,,,,,,Unknown,,
9,2024-10-29 12:24:06,2024-10-29 12:25:25,IP Address,83.78.24.63,92,79,False,2024-11-05 11:25:26.670000,R_2YhJQCUI9nzsfHX,,,,,,,anonymous,EN,Europe,,Prefer not to say,22,Vocational Education,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Rural / Countryside,North America,"Inactivated virus (e.g., Sinovac, Sinopharm)",No,Very important,It depends on the vaccine,4,"yes, positive before vaccination","Yes, partially vaccinated",I am in a high-risk group.,,after a while,2,,,Neither agree nor disagree,Strongly willing,1,2,3,4,5,6,7,8,,Unknown,,
10,2024-11-01 02:09:20,2024-11-06 02:37:28,IP Address,195.176.112.35,100,437288,True,2024-11-06 02:37:29.499000,R_2D6YMUWdRxeTCRT,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,30,Master's Degree,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Rural / Countryside,Europe(except Switzerland),"mRNA (e.g., Pfizer, Moderna)",Yes,Extremely important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, partially vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.",,after a while,4,,,Neither agree nor disagree,Somewhat willing,1,2,7,8,5,4,3,6,,Unknown,,
