,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_8_TEXT,Q2,Q3,Q4,Q4_6_TEXT,Q5,Q5_7_TEXT,Q6,Q6_6_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q19_12_TEXT,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Any Questions? ,Q3 - Topics,Q3 - Parent Topics,Q3 - Topic Hierarchy Level 1,Q9_fac
1,2024-10-28 05:52:43,2024-10-28 06:18:46,0,195.176.113.108,100,1563,1,2024-10-28 06:18:47.196000,R_2Hzv2Bbu2E24FjY,,,,,47.3857,8.5348,anonymous,EN,2,,2,,5,,2,,5,,1,1,1,2,4,1,4,1,1,,,,,,,2,5,1,3,2,4,5,6,7,8,,,,,0
2,2024-10-28 12:16:51,2024-10-28 12:19:06,0,83.78.24.63,100,135,1,2024-10-28 12:19:07.207000,R_2m7XOE3XLdRT7tT,,,,,47.4197,8.5139,anonymous,EN,3,,1,,3,,2,,5,,2,1,"1,2,3,4",2,2,3,1,1,3,,,,,"1,2,3,4,5",,4,2,2,3,4,5,1,6,7,8,,,,,1
3,2024-10-28 13:10:35,2024-10-28 13:28:19,0,178.196.39.237,100,1064,1,2024-10-28 13:28:20.415000,R_8MlH0popDOF1B1A,,,,,47.3433,8.5394,anonymous,EN,3,,1,,5,,7,,6,,2,1,4,2,4,5,3,1,1,"3,5",,1,4,,,1,5,1,3,2,4,5,6,7,8,,,,,2
4,2024-10-28 04:53:25,2024-10-28 06:39:30,0,195.176.112.251,64,6364,0,2024-11-04 05:39:34.368000,R_2ocoOoIJXDKcugk,,,,,,,anonymous,EN,1,,2,,2,,2,,5,,1,7,4,3,5,2,4,2,3,,,,,,,,,,,,,,,,,,Unknown,,,2
5,2024-10-28 07:34:51,2024-10-28 07:36:50,0,195.176.112.136,80,119,0,2024-11-04 06:36:56.086000,R_8PHzABWf82rVkBz,,,,,,,anonymous,EN,2,,2,,4,,2,,7,,2,3,1,2,4,1,4,1,1,,,,,,,,,,,,,,,,,,Unknown,,,0
6,2024-10-28 07:38:45,2024-10-28 07:39:07,0,195.176.112.199,80,21,0,2024-11-04 06:39:09.116000,R_2IYkiHaJKLieoVc,,,,,,,anonymous,EN,5,,2,,2,,2,,2,,2,3,4,2,4,1,1,2,1,,,,,,,,,,,,,,,,,,Unknown,,,2
7,2024-10-28 07:40:14,2024-10-28 07:40:44,0,195.176.112.199,92,29,0,2024-11-04 06:40:45.172000,R_2Qgu4VD7nNAGMLq,,,,,,,anonymous,EN,4,,2,,2,,2,,1,,1,3,2,2,4,4,3,2,2,,,,,,,4,3,2,4,5,3,1,6,7,8,,Unknown,,,3
8,2024-10-28 10:09:41,2024-10-28 10:14:19,0,178.197.211.255,80,277,0,2024-11-04 09:14:24.868000,R_8Bmewlgl4QJvDO1,,,,,,,anonymous,EN,2,,2,,5,,2,,5,,1,,1,2,4,1,4,1,1,"1,2,4,5",,1,4,,,,,,,,,,,,,,Unknown,,,0
9,2024-10-29 12:24:06,2024-10-29 12:25:25,0,83.78.24.63,92,79,0,2024-11-05 11:25:26.670000,R_2YhJQCUI9nzsfHX,,,,,,,anonymous,EN,3,,4,22,7,,2,,2,,3,5,3,2,4,3,4,1,2,4,,2,2,,,3,5,1,2,3,4,5,6,7,8,,Unknown,,,4
10,2024-11-01 02:09:20,2024-11-06 02:37:28,0,195.176.112.35,100,437288,1,2024-11-06 02:37:29.499000,R_2D6YMUWdRxeTCRT,,,,,47.3989,8.4965,anonymous,EN,3,,2,30,4,,2,,2,,3,4,1,1,5,1,4,1,2,"1,2",,2,4,,,3,4,1,2,7,8,5,4,3,6,,Unknown,,,0
11,2024-11-06 02:49:08,2024-11-06 02:51:47,0,31.10.152.66,100,158,1,2024-11-06 02:51:48.029000,R_8QA9eeqW3stGbzZ,,,,,47.3503,8.5561,anonymous,EN,3,,2,38,4,,4,,6,,1,9,1,2,3,3,4,4,1,6,,1,1,,,4,1,2,5,1,4,3,6,7,8,,Unknown,,,0
12,2024-11-06 02:48:35,2024-11-06 02:52:34,0,188.154.128.241,100,238,1,2024-11-06 02:52:34.959000,R_8oW7QpiNuy6ONhv,,,,,47.3444,8.7231,anonymous,EN,2,,1,33,4,,3,,5,,3,9,"1,2",2,5,1,1,4,1,"1,9",Felt to have a responsibility in the society in the way that if i try everything prevent getting ill therefore also prevent others to get ill,1,5,,,3,5,1,4,6,5,7,2,3,8,,Unknown,,,5
13,2024-11-06 02:49:02,2024-11-06 03:00:14,0,213.55.240.21,100,672,1,2024-11-06 03:00:15.255000,R_8mrC4trQqf5r6qm,,,,,47.3952,8.4925,anonymous,EN,2,,2,33,4,,7,Law,1,,1,9,4,2,5,3,3,5,3,,,,,"2,3,4,8,10",,3,2,1,8,2,4,6,5,7,3,Last question is difficult to answer. Ticked it randomly as no of the options resonate to my beliefs. ,Unknown,,,2
14,2024-11-06 03:19:24,2024-11-06 03:23:23,0,212.51.129.118,100,238,1,2024-11-06 03:23:24.278000,R_81POYdJS1kMxZkd,,,,,47.4243,8.5318,anonymous,EN,3,,1,33,4,,4,,1,,3,9,"1,2",2,5,1,4,4,1,"2,5,7",,1,4,,,2,4,1,6,4,3,5,2,7,8,,Unknown,,,5
15,2024-11-06 03:29:35,2024-11-06 03:33:23,0,138.190.89.106,100,227,1,2024-11-06 03:33:24.197000,R_87JrORcLQ6lJu8f,,,,,47.0517,8.3303,anonymous,EN,3,,1,37,4,,4,,1,,2,9,"1,2",2,5,1,5,2,1,"1,6,7",,1,3,,,2,4,1,3,7,4,5,2,6,8,,Unknown,,,5
16,2024-11-06 03:36:50,2024-11-06 03:40:28,0,194.230.144.118,100,217,1,2024-11-06 03:40:29.083000,R_2NqgXXjRvIXbMnD,,,,,47.4554,8.3296,anonymous,EN,3,,2,39,4,,4,,5,,3,9,"1,2",2,4,1,3,2,1,"1,2,6,7",,1,3,,,4,5,1,2,6,7,5,3,4,8,,Unknown,,,5
17,2024-11-06 04:53:10,2024-11-06 04:57:55,0,85.1.20.67,100,285,1,2024-11-06 04:57:56.575000,R_2HS4Rq0h6cwo5RG,,,,,47.4209,8.4055,anonymous,EN,3,,1,43,3,,4,,1,,3,9,1,2,5,1,3,4,1,"1,2,6,7",,2,4,,,3,4,3,4,1,8,5,2,7,6,,Unknown,,,0
18,2024-11-06 04:58:11,2024-11-06 05:02:11,0,148.187.204.8,100,239,1,2024-11-06 05:02:11.702000,R_2A2Cenhbeuh3ULn,,,,,47.3821,8.5728,anonymous,EN,3,,1,38,5,,4,,6,,3,4,"1,2",2,5,5,5,5,1,1,,1,5,,,1,5,1,2,3,4,5,6,7,8,,Unknown,,,5
19,2024-11-06 05:27:37,2024-11-06 05:29:59,0,198.21.21.23,100,142,1,2024-11-06 05:30:00.042000,R_6HRZud5XwKyzIFI,,,,,47.5517,7.5714,anonymous,EN,3,,1,24,4,,4,,5,,2,9,"1,2",2,3,3,3,5,3,,,,,"2,3,4,5",,4,2,2,5,4,6,1,7,8,3,,Unknown,,,5
20,2024-11-06 05:32:57,2024-11-06 05:36:19,0,195.176.112.79,100,201,1,2024-11-06 05:36:19.708000,R_8GUC2yBZJzPesqp,,,,,47.3989,8.4965,anonymous,EN,3,,2,,1,,2,,1,,2,9,"1,4",2,4,1,3,2,1,"1,2,3,8",,1,3,,,3,2,1,4,3,6,2,5,7,8,,,,,6
21,2024-11-06 05:32:52,2024-11-06 05:37:55,0,213.55.242.115,100,303,1,2024-11-06 05:37:56.377000,R_2nVXRC12fLYtlIF,,,,,47.3952,8.4925,anonymous,EN,3,,2,20,3,,2,,5,,2,9,1,2,5,5,2,4,1,"1,2,7",,1,2,,,3,5,1,3,2,5,6,4,7,8,,Unknown,,,0
22,2024-11-06 05:33:37,2024-11-06 05:38:03,0,195.176.112.102,100,265,1,2024-11-06 05:38:04.271000,R_83UniE00fSdPNSf,,,,,47.3989,8.4965,anonymous,EN,3,,2,21,3,,2,,1,,1,9,"1,2",2,5,1,3,4,1,"2,3,6,7,8,9",herd immunity,1,4,,,2,5,1,5,4,2,3,6,7,8,,Unknown,,,5
23,2024-11-06 05:33:05,2024-11-06 05:38:55,0,195.176.112.43,100,350,1,2024-11-06 05:38:56.383000,R_206tYy2nwfdxQpr,,,,,47.3989,8.4965,anonymous,EN,3,,2,21,3,,2,,6,,3,4,"1,2",2,4,3,3,4,1,"1,2,3,5",,2,3,,,3,4,1,2,3,5,4,6,7,8,,Unknown,,,5
24,2024-11-06 05:41:59,2024-11-06 05:46:16,0,195.176.112.161,100,257,1,2024-11-06 05:46:16.757000,R_2Dpnua0YVZqG8iB,,,,,47.3989,8.4965,anonymous,EN,3,,1,24,3,,2,,5,,1,9,"1,2",2,4,5,3,2,1,"1,2,5,6,7",,1,5,,,1,5,1,3,8,4,7,2,5,6,,Unknown,,,5
25,2024-11-06 05:43:44,2024-11-06 05:48:52,0,194.209.125.161,100,307,1,2024-11-06 05:48:52.766000,R_2tEDbmBFJZB6UXD,,,,,47.4818,8.7077,anonymous,EN,3,,1,41,4,,4,,7,,1,4,1,2,5,3,5,4,1,1,,1,2,,,3,1,5,3,8,2,1,6,4,7,,Unknown,,,0
26,2024-11-06 05:53:36,2024-11-06 05:57:30,0,195.176.112.28,100,234,1,2024-11-06 05:57:31.322000,R_8G2hN31czW88jex,,,,,47.3989,8.4965,anonymous,EN,3,,2,21,3,,2,,1,,3,9,"1,2",2,4,3,4,5,3,,,,,"1,2,4,5,8",,4,2,2,5,4,3,1,6,7,8,,Unknown,,,5
27,2024-11-06 05:54:46,2024-11-06 05:58:17,0,185.133.44.254,100,210,1,2024-11-06 05:58:17.596000,R_26zcu0miJeFKV8t,,,,,47.3952,8.4925,anonymous,EN,2,,2,24,4,,4,,7,,2,3,3,2,3,3,3,4,1,1,,2,5,,,4,3,1,2,4,3,5,6,7,8,,Unknown,,,4
28,2024-11-06 05:54:55,2024-11-06 05:58:31,0,138.246.3.233,100,216,1,2024-11-06 05:58:31.864000,R_817jSLgDm4WV36K,,,,,48.1722,11.5534,anonymous,EN,2,,1,24,4,,4,,6,no religion,1,3,4,2,4,1,1,4,2,"1,3",,1,1,,,2,4,2,3,5,4,1,7,8,6,,Unknown,,,2
29,2024-11-06 05:55:34,2024-11-06 05:59:15,0,117.133.133.112,100,220,1,2024-11-06 05:59:16.356000,R_4rVcmAB9Wzk2P9Q,,,,,39.911,116.395,anonymous,EN,2,,2,24,4,,3,,7,,1,3,1,2,2,3,3,4,1,"3,6",,1,3,,,2,4,2,3,7,8,1,4,6,5,,Unknown,,,0
30,2024-11-06 05:56:55,2024-11-06 05:59:20,0,171.8.154.17,100,144,1,2024-11-06 05:59:21.093000,R_5rTF9120zH9xBfq,,,,,34.7599,113.6459,anonymous,EN,7,,1,25,4,,5,,7,,1,8,"1,2,3",2,3,1,2,4,1,"1,2,6,7,8",,2,3,,,2,3,2,6,3,1,5,4,7,8,,Unknown,,,7
31,2024-11-06 05:56:42,2024-11-06 06:00:00,0,128.179.153.235,100,197,1,2024-11-06 06:00:00.929000,R_8D5FGhdaXZT5e5M,,,,,46.5163,6.5802,anonymous,EN,2,,1,24,5,,2,,4,,1,3,"1,2",2,4,1,4,2,1,"1,7,8",,1,4,,,2,4,2,5,7,1,3,4,6,8,,Unknown,,,5
32,2024-11-06 05:57:56,2024-11-06 06:01:29,0,183.173.62.149,100,212,1,2024-11-06 06:01:29.900000,R_4M6BFRgEJxwpQav,,,,,39.911,116.395,anonymous,EN,2,,2,22,4,,5,,6,"I don""t have",1,3,3,2,4,1,4,4,1,"3,8",,1,4,,,2,3,1,3,4,5,6,7,8,2,,Unknown,,,4
33,2024-11-06 05:58:39,2024-11-06 06:03:35,0,172.225.26.11,100,295,1,2024-11-06 06:03:36.198000,R_2MM2axbQXW12GbI,,,,,47.3682,8.5671,anonymous,EN,3,,2,21,3,,2,,5,,2,9,"1,2",2,4,1,3,4,1,"2,3,6,7,9",preventing the spread of covid-19 (not preventing contracting it myself),1,5,,,3,4,1,3,5,2,6,4,7,8,,Unknown,,,5
34,2024-11-06 05:56:59,2024-11-06 06:04:01,0,1.202.123.107,100,421,1,2024-11-06 06:04:01.574000,R_2TE2a45A1UgX2BH,,,,,39.911,116.395,anonymous,EN,2,,2,23,4,,5,,7,,2,3,4,2,3,1,5,4,1,"2,3,7,8",,1,3,,,4,2,1,4,5,2,3,6,8,7,,Unknown,,,2
35,2024-11-06 05:59:22,2024-11-06 06:04:47,0,120.236.231.6,100,324,1,2024-11-06 06:04:48.349000,R_45JXa25zAqA1x6x,,,,,34.7732,113.722,anonymous,EN,2,,2,22,4,,5,,6,no,2,3,4,2,3,4,2,4,1,1,,2,3,,,2,4,2,1,5,4,3,6,8,7,"If reminding me of the left time to finish, that would be better",Unknown,,,2
36,2024-11-06 06:01:33,2024-11-06 06:04:52,0,120.244.141.131,100,198,1,2024-11-06 06:04:53.194000,R_4LjMVUTNnViay4x,,,,,39.911,116.395,anonymous,EN,2,,2,23,4,,5,,4,,1,3,3,2,4,1,3,4,1,6,,1,3,,,5,3,2,3,1,4,5,6,7,8,,Unknown,,,4
